财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
英国未季调核心输出PPI年率,http://www.kxt.com/data/ukppxfby+index.html,英国国家统计局,每月,"公布值>预测值=利好英镑
",英国国家统计局 生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,该指标是消费通胀的领先性指标——当制造商卖出的商品时，价格的上升部分通常会传导至消费终端。但因最终传导到消费者物价指数需要时间，因此市场对此反应不大。,利多
英国央行抵押贷款许可,http://www.kxt.com/data/ukmsvtvx+index.html, 英国央行, 每月,"公布值>预期值=利好英镑
",英国央行公布抵押贷款许可数据，来衡量房产市场的潜在增长动力，进而反映未来经济的运行趋势。申请抵押贷款的人数越多，获得批准的数量就越多，反映经济增长动力增强。, 当月为购买房屋而新批准的抵押贷款数量,抵押贷款许可数据的变化，能反映出房地产行业未来的运行方向，进而对经济发展产生影响。,利空
英国商品零售价格指数,http://www.kxt.com/data/ukrpi+index.html,英国统计局,每月,"公布值>预期值=利好英镑
",社会消费品零售总额(social retail-goods)，指各种经济类型的批发零售贸易业、餐饮业、制造业和其他行业对城乡居民和社会集团的消费品零售额和农民对非农业居民零售额的总和。,零售销售总额变动,社会消费品零售总额反映一定时期内人民物质文化生活水平的提高情况，反映社会商品购买力的实现程度，以及零售市场的规模状况。由社会商品供给和有支付能力的商品需求的规模所决定，是研究人民生活水平、社会零售商品购买力、社会生产、货币流通和物价发展变化趋势的重要资料。,利多
英国Nationwide房价指数月率,http://www.kxt.com/data/uknbaamm+index.html, 全英房屋抵押贷款协会(Nationwide Building Society), 每月,"公布值>预期值=利好英镑
",全英房屋抵押贷款协会(Nationwide Building Society)进行的房产市场调查，用以反映房产市场的变化趋势。公布时间较早，对市场有一定的影响。, 基于对消费者调查的综合水平指数，公布月率和年率数据,房产市场的好坏，直接反映出消费支出、投资状况和经济的健康情况，是衡量经济运行状况的重要指标之一。房价上涨，预示房产市场蓬勃发展，对英镑有利。,利空
英国贸易账,http://www.kxt.com/data/uktbttba+index.html,英国国家统计局,每月,"公布值>预期值=利好英镑
",英国贸易帐(British trade account)。英国商品和劳务的进出口差额。贸易收支（贸易帐）是英国国际收支中最重要的组成之一，因此对英镑估值有重要意义。贸易收支为负（赤字）表明进口大于出口；当出口大于进口时，则为贸易盈余。,在该月进口商品和出口商品总价值之差,如果出现顺差，说明资金呈现净流入，利好英镑；如果出现逆差，说明资金净流出，利空英镑。,利多
英国Nationwide房价指数年率,http://www.kxt.com/data/uknbanyy+index.html, 全英房屋抵押贷款协会(Nationwide Building Society), 每月,"公布值>预期值=利好英镑
",全英房屋抵押贷款协会(Nationwide Building Society)进行的房产市场调查，用以反映房产市场的变化趋势。公布时间较早，对市场有一定的影响。, 基于对消费者调查的综合水平指数，公布月率和年率数据,房产市场的好坏，直接反映出消费支出、投资状况和经济的健康情况，是衡量经济运行状况的重要指标之一。房价上涨，预示房产市场蓬勃发展，对英镑有利。,利空
英国失业率,http://www.kxt.com/data/ukuer+index.html, 英国国家统计局, 每月,"公布值>预测值=利空英镑
",失业率（Unemployment Rate）是指失业人口占劳动人口的比率（一定时期全部就业人口中有工作意愿而仍未有工作的劳动力数字），旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。, 失业人数与总劳动人口的比例，公布官方失业率和ILO失业率,失业率数字被视为一个反映整体经济状况的指标，而它又是每个月最先发表的经济数据，所以外汇交易员与研究者们喜欢利用失业率指标，来对工业生产、个人收人甚至新房屋兴建等其他相关的指标进行预测。失业率上升，对英镑是利空。,利多
英国未季调输入PPI月率,http://www.kxt.com/data/ukppiinc+index.html,  英国国家统计局, 每月,"公布值>预测值=利好英镑
",英国国家统计局 生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,该指标是消费通胀的领先性指标——当制造商卖出的商品时，价格的上升部分通常会传导至消费终端。但因最终传导到消费者物价指数需要时间，因此市场对此反应不大。,利多
英国未季调输入PPI年率,http://www.kxt.com/data/ukppiiny+index.html, 英国国家统计局, 每月,"公布值>预测值=利好英镑
",英国国家统计局 生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,该指标是消费通胀的领先性指标——当制造商卖出的商品时，价格的上升部分通常会传导至消费终端。但因最终传导到消费者物价指数需要时间，因此市场对此反应不大。,利多
英国未季调输出PPI月率,http://www.kxt.com/data/ukppioc+index.html, 英国国家统计局, 每月,"公布值>预期值=利好英镑
",生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。, 制造商所生产的商品的出场价格变化,该指标是消费通胀的领先性指标——当制造商卖出的商品时，价格的上升部分通常会传导至消费终端。但因最终传导到消费者物价指数需要时间，因此市场对此反应不大。,利多
英国未季调输出PPI年率,http://www.kxt.com/data/ukppioy+index.html, 英国国家统计局, 每月,"公布值>预测值=利好英镑
",生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,该指标是消费通胀的领先性指标——当制造商卖出的商品时，价格的上升部分通常会传导至消费终端。但因最终传导到消费者物价指数需要时间，因此市场对此反应不大。,利多
英国未季调核心输出PPI月率,http://www.kxt.com/data/ukppxfbm+index.html, 英国国家统计局, 每月,"公布值>预测值=利好英镑
",英国国家统计局 生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。,"统计每月未季调核心输出PPI月率,生产者输出物价指数(Producers output price index)是通过英国制造商卖出所生产的产品和提供劳务时的价格变化，来测量通货膨胀率。",该指标是消费通胀的领先性指标——当制造商卖出的商品时，价格的上升部分通常会传导至消费终端。但因最终传导到消费者物价指数需要时间，因此市场对此反应不大。,利多
英国政府收支短差,http://www.kxt.com/data/ukpsbr+index.html, 英国国家统计局, 每月,"收入超过支出，即盈余，公布值>预测值=利好英镑；收入低于支出，即出现短差，公布值>预测值=利空英镑
",公共部门收支短差(PSNCR)，统计收入与支出差额，反映财政公共支出活动。公共支出要看经济情况，经济繁荣时，减少支出，让私人部门投资；经济衰退时，加大财政支出，公共支出，刺激经济。, 统计政府收入与支出之差，以衡量政府财政健康状况,当收入超过支出，即出现收支盈余时，代表经济走强，对英镑有利；反之，若支出大于收入，表明政府负债增加，长期以往不利该国财政健康，对英镑利空。,利多
